G0 2 1 3 139 0
G1 1 1 2 475 2
G2 1 2 4 286 2
G3 1 9 2 195 1
G4 1 2 9 231 1
G5 2 3 7 171 0
G6 0 8 8 310 0
G7 0 7 1 353 0
G8 2 3 3 350 0
G9 1 6 3 484 2
G10 0 2 10 471 0
G11 1 7 5 152 1
G12 2 9 6 173 0
G13 0 4 9 238 1
G14 2 7 9 177 1
G15 1 6 3 481 0
G16 2 8 5 199 0
G17 1 8 9 149 2
G18 0 4 8 423 2
G19 0 10 6 464 2
G20 0 9 8 147 1
G21 2 8 9 433 1
G22 1 6 4 153 1
G23 1 9 1 425 2
G24 0 8 7 413 1
G25 2 9 9 229 0
G26 0 1 3 199 2
G27 1 10 6 497 0
G28 2 7 3 368 1
G29 0 2 1 127 1
G30 2 9 4 476 2
G31 2 2 1 135 0
G32 0 8 6 208 2
G33 2 1 9 480 0
G34 1 7 8 284 0
G35 2 1 2 235 2
G36 0 4 1 271 0
G37 0 4 6 174 0
G38 1 1 3 124 1
G39 0 6 6 452 0
G40 2 2 4 283 0
G41 2 6 5 189 2
G42 2 7 4 417 0
G43 1 2 10 473 2
G44 2 8 5 282 1
G45 2 4 1 244 0
G46 0 5 4 443 1
G47 2 10 4 226 1
G48 0 7 9 432 1
G49 2 3 9 480 2
