Following Gifts are given by B98 to G9
1:   Gift Type -: Utility,    Price -: 30,    Value -: 3
2:   Gift Type -: Utility,    Price -: 33,    Value -: 4
3:   Gift Type -: Essential,    Price -: 33,    Value -: 1
4:   Gift Type -: Utility,    Price -: 34,    Value -: 9
5:   Gift Type -: Luxury,    Price -: 34,    Value -: 4
6:   Gift Type -: Essential,    Price -: 35,    Value -: 1

Following Gifts are given by B72 to G49
1:   Gift Type -: Utility,    Price -: 30,    Value -: 3
2:   Gift Type -: Utility,    Price -: 33,    Value -: 4
3:   Gift Type -: Essential,    Price -: 33,    Value -: 1
4:   Gift Type -: Utility,    Price -: 34,    Value -: 9
5:   Gift Type -: Luxury,    Price -: 34,    Value -: 4
6:   Gift Type -: Essential,    Price -: 35,    Value -: 1
7:   Gift Type -: Utility,    Price -: 35,    Value -: 19
8:   Gift Type -: Essential,    Price -: 35,    Value -: 16
9:   Gift Type -: Luxury,    Price -: 36,    Value -: 10
10:   Gift Type -: Luxury,    Price -: 37,    Value -: 14
11:   Gift Type -: Essential,    Price -: 39,    Value -: 6
12:   Gift Type -: Luxury,    Price -: 39,    Value -: 19
13:   Gift Type -: Essential,    Price -: 40,    Value -: 6

Following Gifts are given by B82 to G18
1:   Gift Type -: Utility,    Price -: 30,    Value -: 3
2:   Gift Type -: Utility,    Price -: 33,    Value -: 4
3:   Gift Type -: Essential,    Price -: 33,    Value -: 1
4:   Gift Type -: Utility,    Price -: 34,    Value -: 9
5:   Gift Type -: Luxury,    Price -: 34,    Value -: 4
6:   Gift Type -: Essential,    Price -: 35,    Value -: 1
7:   Gift Type -: Utility,    Price -: 35,    Value -: 19
8:   Gift Type -: Essential,    Price -: 35,    Value -: 16
9:   Gift Type -: Luxury,    Price -: 36,    Value -: 10
10:   Gift Type -: Luxury,    Price -: 37,    Value -: 14
11:   Gift Type -: Essential,    Price -: 39,    Value -: 6

Following Gifts are given by B99 to G35
1:   Gift Type -: Utility,    Price -: 30,    Value -: 3
2:   Gift Type -: Utility,    Price -: 33,    Value -: 4
3:   Gift Type -: Essential,    Price -: 33,    Value -: 1
4:   Gift Type -: Utility,    Price -: 34,    Value -: 9
5:   Gift Type -: Luxury,    Price -: 34,    Value -: 4
6:   Gift Type -: Essential,    Price -: 35,    Value -: 1
7:   Gift Type -: Utility,    Price -: 35,    Value -: 19
8:   Gift Type -: Essential,    Price -: 35,    Value -: 16
9:   Gift Type -: Luxury,    Price -: 36,    Value -: 10
10:   Gift Type -: Luxury,    Price -: 37,    Value -: 14
11:   Gift Type -: Essential,    Price -: 39,    Value -: 6
12:   Gift Type -: Luxury,    Price -: 39,    Value -: 19

Following Gifts are given by B16 to G10
1:   Gift Type -: Utility,    Price -: 30,    Value -: 3
2:   Gift Type -: Utility,    Price -: 33,    Value -: 4
3:   Gift Type -: Essential,    Price -: 33,    Value -: 1
4:   Gift Type -: Utility,    Price -: 34,    Value -: 9
5:   Gift Type -: Luxury,    Price -: 34,    Value -: 4
6:   Gift Type -: Essential,    Price -: 35,    Value -: 1
7:   Gift Type -: Utility,    Price -: 35,    Value -: 19
8:   Gift Type -: Essential,    Price -: 35,    Value -: 16

Following Gifts are given by B57 to G37
1:   Gift Type -: Utility,    Price -: 30,    Value -: 3
2:   Gift Type -: Utility,    Price -: 33,    Value -: 4
3:   Gift Type -: Essential,    Price -: 33,    Value -: 1
4:   Gift Type -: Utility,    Price -: 34,    Value -: 9
5:   Gift Type -: Luxury,    Price -: 34,    Value -: 4
6:   Gift Type -: Essential,    Price -: 35,    Value -: 1
7:   Gift Type -: Utility,    Price -: 35,    Value -: 19
8:   Gift Type -: Essential,    Price -: 35,    Value -: 16
9:   Gift Type -: Luxury,    Price -: 36,    Value -: 10

Following Gifts are given by B90 to G42
1:   Gift Type -: Utility,    Price -: 30,    Value -: 3
2:   Gift Type -: Utility,    Price -: 33,    Value -: 4
3:   Gift Type -: Essential,    Price -: 33,    Value -: 1
4:   Gift Type -: Utility,    Price -: 34,    Value -: 9
5:   Gift Type -: Luxury,    Price -: 34,    Value -: 4
6:   Gift Type -: Essential,    Price -: 35,    Value -: 1
7:   Gift Type -: Utility,    Price -: 35,    Value -: 19

Following Gifts are given by B81 to G19
1:   Gift Type -: Utility,    Price -: 30,    Value -: 3
2:   Gift Type -: Utility,    Price -: 33,    Value -: 4
3:   Gift Type -: Essential,    Price -: 33,    Value -: 1
4:   Gift Type -: Utility,    Price -: 34,    Value -: 9
5:   Gift Type -: Luxury,    Price -: 34,    Value -: 4

Following Gifts are given by B31 to G15
1:   Gift Type -: Utility,    Price -: 30,    Value -: 3
2:   Gift Type -: Utility,    Price -: 33,    Value -: 4
3:   Gift Type -: Essential,    Price -: 33,    Value -: 1
4:   Gift Type -: Utility,    Price -: 34,    Value -: 9
5:   Gift Type -: Luxury,    Price -: 34,    Value -: 4

Following Gifts are given by B43 to G4
1:   Gift Type -: Utility,    Price -: 30,    Value -: 3
2:   Gift Type -: Utility,    Price -: 33,    Value -: 4
3:   Gift Type -: Essential,    Price -: 33,    Value -: 1
4:   Gift Type -: Utility,    Price -: 34,    Value -: 9
5:   Gift Type -: Luxury,    Price -: 34,    Value -: 4
6:   Gift Type -: Essential,    Price -: 35,    Value -: 1
7:   Gift Type -: Utility,    Price -: 35,    Value -: 19
8:   Gift Type -: Essential,    Price -: 35,    Value -: 16
9:   Gift Type -: Luxury,    Price -: 36,    Value -: 10
10:   Gift Type -: Luxury,    Price -: 37,    Value -: 14
11:   Gift Type -: Essential,    Price -: 39,    Value -: 6
12:   Gift Type -: Luxury,    Price -: 39,    Value -: 19
13:   Gift Type -: Essential,    Price -: 40,    Value -: 6
14:   Gift Type -: Utility,    Price -: 42,    Value -: 13

Following Gifts are given by B89 to G26
1:   Gift Type -: Utility,    Price -: 30,    Value -: 3
2:   Gift Type -: Utility,    Price -: 33,    Value -: 4
3:   Gift Type -: Essential,    Price -: 33,    Value -: 1
4:   Gift Type -: Utility,    Price -: 34,    Value -: 9
5:   Gift Type -: Luxury,    Price -: 34,    Value -: 4
6:   Gift Type -: Essential,    Price -: 35,    Value -: 1
7:   Gift Type -: Utility,    Price -: 35,    Value -: 19
8:   Gift Type -: Essential,    Price -: 35,    Value -: 16
9:   Gift Type -: Luxury,    Price -: 36,    Value -: 10
10:   Gift Type -: Luxury,    Price -: 37,    Value -: 14
11:   Gift Type -: Essential,    Price -: 39,    Value -: 6
12:   Gift Type -: Luxury,    Price -: 39,    Value -: 19
13:   Gift Type -: Essential,    Price -: 40,    Value -: 6
14:   Gift Type -: Utility,    Price -: 42,    Value -: 13

Following Gifts are given by B94 to G36
1:   Gift Type -: Utility,    Price -: 30,    Value -: 3
2:   Gift Type -: Utility,    Price -: 33,    Value -: 4
3:   Gift Type -: Essential,    Price -: 33,    Value -: 1
4:   Gift Type -: Utility,    Price -: 34,    Value -: 9
5:   Gift Type -: Luxury,    Price -: 34,    Value -: 4

Following Gifts are given by B23 to G16
1:   Gift Type -: Utility,    Price -: 30,    Value -: 3
2:   Gift Type -: Utility,    Price -: 33,    Value -: 4
3:   Gift Type -: Essential,    Price -: 33,    Value -: 1
4:   Gift Type -: Utility,    Price -: 34,    Value -: 9
5:   Gift Type -: Luxury,    Price -: 34,    Value -: 4
6:   Gift Type -: Essential,    Price -: 35,    Value -: 1
7:   Gift Type -: Utility,    Price -: 35,    Value -: 19
8:   Gift Type -: Essential,    Price -: 35,    Value -: 16
9:   Gift Type -: Luxury,    Price -: 36,    Value -: 10
10:   Gift Type -: Luxury,    Price -: 37,    Value -: 14
11:   Gift Type -: Essential,    Price -: 39,    Value -: 6

