B0 2 2 6 415 4
B1 2 5 6 411 2
B2 1 10 9 277 3
B3 1 10 8 333 3
B4 1 10 6 309 2
B5 2 4 6 147 6
B6 0 5 9 331 4
B7 1 5 8 368 4
B8 2 8 8 143 2
B9 2 9 5 177 3
B10 2 2 9 486 3
B11 1 6 7 134 2
B12 2 8 8 251 2
B13 1 9 7 470 2
B14 0 10 5 164 6
B15 2 4 10 158 2
B16 2 10 6 265 2
B17 2 6 6 435 2
B18 2 6 5 437 6
B19 1 7 6 297 5
B20 1 9 6 454 5
B21 1 7 5 284 5
B22 2 2 6 475 5
B23 0 8 1 384 4
B24 0 4 6 150 5
B25 1 6 8 140 6
B26 0 1 4 164 6
B27 2 7 2 481 1
B28 1 2 1 388 6
B29 2 4 1 194 3
B30 0 1 10 383 4
B31 0 2 2 164 5
B32 1 9 7 431 6
B33 0 1 3 316 2
B34 2 3 2 184 3
B35 1 2 8 306 1
B36 0 6 1 248 2
B37 0 10 2 349 3
B38 2 4 10 373 1
B39 2 5 9 240 3
B40 1 10 6 357 4
B41 1 7 9 469 1
B42 2 1 2 249 1
B43 2 3 9 493 1
B44 2 7 6 198 1
B45 1 8 6 301 6
B46 2 6 1 409 1
B47 2 1 6 398 3
B48 2 5 3 292 3
B49 0 6 8 330 3
B50 0 4 4 124 2
B51 0 4 10 155 6
B52 2 8 6 220 4
B53 1 5 3 457 2
B54 0 2 4 469 5
B55 1 6 9 262 1
B56 0 10 7 290 2
B57 0 6 3 295 2
B58 0 8 5 476 1
B59 0 10 9 283 4
B60 2 9 6 366 1
B61 2 6 3 116 6
B62 2 2 6 481 6
B63 1 3 10 117 6
B64 2 9 6 495 3
B65 1 10 2 106 5
B66 1 8 3 303 3
B67 1 9 10 496 6
B68 2 2 8 392 1
B69 1 8 3 129 5
B70 1 4 2 361 3
B71 2 2 3 103 5
B72 2 9 6 465 3
B73 0 6 4 162 6
B74 2 6 1 242 6
B75 1 7 2 185 2
B76 0 3 3 177 6
B77 2 2 7 168 4
B78 0 10 5 349 6
B79 0 9 10 277 1
B80 0 9 6 376 3
B81 0 6 4 153 2
B82 0 7 3 387 6
B83 2 6 5 349 4
B84 2 4 9 320 2
B85 2 5 9 231 4
B86 1 10 4 424 2
B87 2 3 7 305 1
B88 1 9 1 198 5
B89 2 4 2 495 6
B90 2 4 6 228 1
B91 0 3 2 266 3
B92 1 7 6 260 1
B93 0 3 8 451 4
B94 0 9 1 148 1
B95 0 10 10 484 6
B96 0 5 8 246 4
B97 2 3 6 444 1
B98 0 10 7 193 3
B99 1 10 9 421 1
